USER_NAME,EMPLOYEE_ID,LAST_LOGIN,RESPONSIBILITIES,ROLES
KBOYD,1b2c3a4b,2015-02-09 10:27:59.070321,Payables Manager,
KBOYD,1b2c3a4b,2015-03-02 10:27:59.070321,Payables Inquiry,
KBOYD2,1b2c3a4b,2015-03-03 10:27:59.070321,Receivables Manager,
WGOMEZ,1b2b3b4d,2015-03-05 10:27:59.070321,AX Cost Management,
WGOMEZ,1b2b3b4d,2015-03-07 10:27:59.070321,AX Inventory User,
BHENRY,1b2c3a4a,2015-02-09 10:27:59.070321,Purchasing Buyer,
BHENRY,1b2c3a4a,2015-02-09 10:27:59.070321,Purchasing Super User,
BHENRY,1b2c3a4a,2015-02-09 10:27:59.070321,Payables Inquiry,
BHENRY,1b2c3a4a,2015-02-09 10:27:59.070321,AX Inventory,
BHENRY,1b2c3a4a,2015-02-09 10:27:59.070321,AX Payables User,
AKENNE,1b2c3a4e,2015-02-09 10:27:59.070321,System Administrator,System Integration Analyst
AKENNE,1b2c3a4e,2015-02-09 10:27:59.070321,System Administration,
AKENNE,1b2c3a4e,2015-02-09 10:27:59.070321,Application Developer,
JBENNE,1b,2015-02-09 10:27:59.070321,AX Cost Management,
JBENNE,1b,2015-02-09 10:27:59.070321,AX Payables Supervisor,
JBENNE,1b,2015-02-09 10:27:59.070321,AX Receivables Supervisor,
JBENNE,1b,2015-02-09 10:27:59.070321,Purchasing Super User,
DFLORE,1b2c3a,2015-05-18 09:03:00.000000,Cash Management-Payroll,
DFLORE,1b2c3a,2015-05-18 09:03:00.000000,Payables Inquiry,
JWASHI,1b2c3b,2015-05-14 08:13:10.130510,Payables Manager,Customer Administrator
JWASHI,1b2c3b,2015-05-14 08:13:10.130510,Cash Management Manager,
JWASHI,1b2c3b,2015-05-14 08:13:10.130510,Cash Management Master User,
JWASHI,1b2c3b,2015-05-14 08:13:10.130510,Cash Management Notifications,
JWASHI,1b2c3b,2015-05-14 08:13:10.130510,Cash Management Setup,
JWASHI,1b2c3b,2015-05-14 08:13:10.130510,Cash Management Superuser,
CSIMMI,1b2c3d,2014-07-02 10:08:03.130999,Treasury Inquiry,
CSIMMI,1b2c3d,2014-07-02 10:08:03.130999,Treasury Settlements Administrator,
CSIMMI,1b2c3d,2014-07-02 10:08:03.130999,E-Business Intelligence Alerting,
CSIMMI,1b2c3d,2014-07-02 10:08:03.130999,Internet Expenses Reporting and Analysis,
