employeeId,department
1a2a3a4c,Information Technology
1a2a3a4d,Information Technology
1a2a3b4c,Information Technology
1a2a3b4d,Information Technology
1a2a3c4c,Engineering
1a2a3c4d,Engineering
1a2a3d4c,Engineering
1a2a3d4d,Engineering
1a2b3a4c,Human Resources
1a2b3a4d,Human Resources
1a2b3b4c,Human Resources
1a2b3b4d,Human Resources
1a2b3c4c,Inventory
1a2b3c4d,Inventory
1a2b3d4c,Inventory
1a2b3d4d,Inventory
1a2c3a4c,Accounting
1a2c3a4d,Accounting
1a2c3b4c,Accounting
1a2c3b4d,Accounting
1a2c3c4c,Finance
1a2c3c4d,Finance
1a2c3d4c,Finance
1a2c3d4d,Finance
1b2a3a4c,Information Technology
1b2a3a4d,Information Technology
1b2a3b4c,Information Technology
1b2a3b4d,Information Technology
1b2a3c4c,Engineering
1b2a3c4d,Engineering
1b2a3d4c,Engineering
1b2a3d4d,Engineering
1b2b3a4c,Human Resources
1b2b3a4d,Human Resources
1b2b3b4c,Human Resources
1b2b3b4d,Human Resources
1b2b3c4c,Inventory
1b2b3c4d,Inventory
1b2b3d4c,Inventory
1b2b3d4d,Inventory
1b2c3a4c,Accounting
1b2c3a4d,Accounting
1b2c3b4c,Accounting
1b2c3b4d,Accounting
1b2c3c4c,Finance
1b2c3c4d,Finance
1b2c3d4c,Finance
1b2c3d4d,Finance
1c2a3a4c,Information Technology
1c2a3a4d,Information Technology
1c2a3b4c,Information Technology
1c2a3b4d,Information Technology
1c2a3c4c,Engineering
1c2a3c4d,Engineering
1c2a3d4c,Engineering
1c2a3d4d,Engineering
1c2b3a4c,Human Resources
1c2b3a4d,Human Resources
1c2b3b4c,Human Resources
1c2b3b4d,Human Resources
1c2b3c4c,Inventory
1c2b3c4d,Inventory
1c2b3d4c,Inventory
1c2b3d4d,Inventory
1c2c3a4c,Accounting
1c2c3a4d,Accounting
1c2c3b4c,Accounting
1c2c3b4d,Accounting
1c2c3c4c,Finance
1c2c3c4d,Finance
1c2c3d4c,Finance
1c2c3d4d,Finance
