employeeId,inactiveIdentity
1a2a3a4c,FALSE
1a2a3a4d,FALSE
1a2a3b4c,FALSE
1a2a3b4d,FALSE
1a2a3c4c,FALSE
1a2a3c4d,FALSE
1a2a3d4c,FALSE
1a2a3d4d,FALSE
1a2b3a4c,FALSE
1a2b3a4d,FALSE
1a2b3b4c,FALSE
1a2b3b4d,FALSE
1a2b3c4c,FALSE
1a2b3c4d,FALSE
1a2b3d4c,FALSE
1a2b3d4d,FALSE
1a2c3a4c,FALSE
1a2c3a4d,FALSE
1a2c3b4c,FALSE
1a2c3b4d,FALSE
1a2c3c4c,FALSE
1a2c3c4d,FALSE
1a2c3d4c,FALSE
1a2c3d4d,FALSE
1b2a3a4c,FALSE
1b2a3a4d,FALSE
1b2a3b4c,FALSE
1b2a3b4d,FALSE
1b2a3c4c,FALSE
1b2a3c4d,FALSE
1b2a3d4c,FALSE
1b2a3d4d,FALSE
1b2b3a4c,FALSE
1b2b3a4d,FALSE
1b2b3b4c,FALSE
1b2b3b4d,FALSE
1b2b3c4c,FALSE
1b2b3c4d,FALSE
1b2b3d4c,FALSE
1b2b3d4d,FALSE
1b2c3a4c,FALSE
1b2c3a4d,FALSE
1b2c3b4c,FALSE
1b2c3b4d,FALSE
1b2c3c4c,FALSE
1b2c3c4d,FALSE
1b2c3d4c,FALSE
1b2c3d4d,FALSE
1c2a3a4c,FALSE
1c2a3a4d,FALSE
1c2a3b4c,FALSE
1c2a3b4d,FALSE
1c2a3c4c,FALSE
1c2a3c4d,FALSE
1c2a3d4c,FALSE
1c2a3d4d,FALSE
1c2b3a4c,FALSE
1c2b3a4d,FALSE
1c2b3b4c,FALSE
1c2b3b4d,FALSE
1c2b3c4c,FALSE
1c2b3c4d,FALSE
1c2b3d4c,FALSE
1c2b3d4d,FALSE
1c2c3a4c,FALSE
1c2c3a4d,FALSE
1c2c3b4c,FALSE
1c2c3b4d,FALSE
1c2c3c4c,FALSE
1c2c3c4d,FALSE
1c2c3d4c,FALSE
1c2c3d4d,FALSE
