employeeId,managerId
1a,NULL
1a2a,1a
1a2aX,1a
1a2b,1a
1a2c,1a
1a2a3a,1a2a
1a2a3b,1a2a
1a2a3c,1a2a
1a2a3d,1a2a
1a2b3a,1a2b
1a2b3b,1a2b
1a2b3c,1a2b
1a2b3d,1a2b
1a2c3a,1a2c
1a2c3b,1a2c
1a2c3c,1a2c
1a2c3d,1a2c
1a2a3a4a,1a2a3a
1a2a3a4b,1a2a3a
1a2a3a4e,1a2a3a
1a2a3b4a,1a2a3b
1a2a3b4b,1a2a3b
1a2a3b4e,1a2a3b
1a2a3c4a,1a2a3c
1a2a3c4b,1a2a3c
1a2a3c4e,1a2a3c
1a2a3d4a,1a2a3d
1a2a3d4b,1a2a3d
1a2a3d4e,1a2a3d
1a2b3a4a,1a2b3a
1a2b3a4b,1a2b3a
1a2b3a4e,1a2b3a
1a2b3b4a,1a2b3b
1a2b3b4b,1a2b3b
1a2b3b4e,1a2b3b
1a2b3c4a,1a2b3c
1a2b3c4b,1a2b3c
1a2b3c4e,1a2b3c
1a2b3d4a,1a2b3d
1a2b3d4b,1a2b3d
1a2b3d4e,1a2b3d
1a2c3a4a,1a2c3a
1a2c3a4b,1a2c3a
1a2c3a4e,1a2c3a
1a2c3b4a,1a2c3b
1a2c3b4b,1a2c3b
1a2c3b4e,1a2c3b
1a2c3c4a,1a2c3c
1a2c3c4b,1a2c3c
1a2c3c4e,1a2c3c
1a2c3d4a,1a2c3d
1a2c3d4b,1a2c3d
1a2c3d4e,1a2c3d
1b,NULL
1b2a,1b
1b2b,1b
1b2c,1b
1b2a3a,1b2a
1b2a3b,1b2a
1b2a3c,1b2a
1b2a3d,1b2a
1b2b3a,1b2b
1b2b3b,1b2b
1b2b3c,1b2b
1b2b3d,1b2b
1b2c3a,1b2c
1b2c3b,1b2c
1b2c3c,1b2c
1b2c3d,1b2c
1b2a3a4a,1b2a3a
1b2a3a4b,1b2a3a
1b2a3a4e,1b2a3a
1b2a3b4a,1b2a3b
1b2a3b4b,1b2a3b
1b2a3b4e,1b2a3b
1b2a3c4a,1b2a3c
1b2a3c4b,1b2a3c
1b2a3c4e,1b2a3c
1b2a3d4a,1b2a3d
1b2a3d4b,1b2a3d
1b2a3d4e,1b2a3d
1b2b3a4a,1b2b3a
1b2b3a4b,1b2b3a
1b2b3a4e,1b2b3a
1b2b3b4a,1b2b3b
1b2b3b4b,1b2b3b
1b2b3b4e,1b2b3b
1b2b3c4a,1b2b3c
1b2b3c4b,1b2b3c
1b2b3c4e,1b2b3c
1b2b3d4a,1b2b3d
1b2b3d4b,1b2b3d
1b2b3d4e,1b2b3d
1b2c3a4a,1b2c3a
1b2c3a4b,1b2c
1b2c3a4e,1b2c3a
1b2c3b4a,1b2c3b
1b2c3b4b,1b2c3b
1b2c3b4e,1b2c3b
1b2c3c4a,1b2c3c
1b2c3c4b,1b2c3c
1b2c3c4e,1b2c3c
1b2c3d4a,1b2c3d
1b2c3d4b,1b2c3d
1b2c3d4e,1b2c3d
1c,NULL
1c2a,1c
1c2b,1c
1c2c,1c
1c2a3a,1c2a
1c2a3b,1c2a
1c2a3c,1c2a
1c2a3d,1c2a
1c2b3a,1c2b
1c2b3b,1c2b
1c2b3c,1c2b
1c2b3d,1c2b
1c2c3a,1c2c
1c2c3b,1c2c
1c2c3c,1c2c
1c2c3d,1c2c
1c2a3a4a,1c2a3a
1c2a3a4b,1c2a3a
1c2a3a4e,1c2a3a
1c2a3b4a,1c2a3b
1c2a3b4b,1c2a3b
1c2a3b4e,1c2a3b
1c2a3c4a,1c2a3c
1c2a3c4b,1c2a3c
1c2a3c4e,1c2a3c
1c2a3d4a,1c2a3d
1c2a3d4b,1c2a3d
1c2a3d4e,1c2a3d
1c2b3a4a,1c2b3a
1c2b3a4b,1c2b3a
1c2b3a4e,1c2b3a
1c2b3b4a,1c2b3b
1c2b3b4b,1c2b3b
1c2b3b4e,1c2b3b
1c2b3c4a,1c2b3c
1c2b3c4b,1c2b3c
1c2b3c4e,1c2b3c
1c2b3d4a,1c2b3d
1c2b3d4b,1c2b3d
1c2b3d4e,1c2b3d
1c2c3a4a,1c2c3a
1c2c3a4b,1c2c3a
1c2c3a4e,1c2c3a
1c2c3b4a,1c2c3b
1c2c3b4b,1c2c3b
1c2c3b4e,1c2c3b
1c2c3c4a,1c2c3c
1c2c3c4b,1c2c3c
1c2c3c4e,1c2c3c
1c2c3d4a,1c2c3d
1c2c3d4b,1c2c3d
1c2c3d4e,1c2c3d
